what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318491646406
java.vm.specification.version,sysinfo,,,"1.0",1318491646406
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1318491646406
java.vm.version,sysinfo,,,"20.1-b02",1318491646406
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1318491646406
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1318491647109
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1318491648125
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318491652078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318491658235
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318491676331
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318491677800
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318491680566
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1318491680879
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1318491680926
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318491681051
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1318491681348
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318491689521
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318491692599
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318491692662
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318491692927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318491704476
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318491711476
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318491719071
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318491724619
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318491725478
